bandwidth;positions;euclidean_error;ftms;seed;x_calculated;y_calculated
20;3;1.13;6;57;0.87916;0.70775
20;4;1.13;6;57;0.72933;0.86322
20;5;11.75;6;57;-7.05284;9.39506
20;6;0.68;6;57;0.51439;0.45079
20;7;0.68;6;57;0.51076;0.45005
20;8;0.72;6;57;0.55127;0.45631
20;9;0.59;6;57;0.50887;0.30475
20;10;0.33;6;57;0.32113;0.06012
20;3;14.42;6;58;-8.03212;11.97217
20;4;0.19;6;58;-0.02985;0.18796
20;5;0.29;6;58;0.14854;0.24805
20;6;0.45;6;58;0.29428;0.34084
20;7;0.45;6;58;0.29193;0.34264
20;8;0.16;6;58;-0.04702;0.14858
20;9;0.17;6;58;0.15418;0.06986
20;10;0.1;6;58;-0.07572;0.07244
20;3;9.37;6;59;-3.78331;8.56715
20;4;0.41;6;59;-0.23839;-0.33141
20;5;0.41;6;59;-0.33285;0.24198
20;6;0.4;6;59;-0.32619;0.23041
20;7;0.39;6;59;-0.3459;0.17965
20;8;0.29;6;59;-0.23285;0.16736
20;9;0.16;6;59;-0.15063;0.06038
20;10;0.11;6;59;-0.08778;-0.06924
20;3;1.3;6;5;-1.1374;0.62687
20;4;1.18;6;5;-0.87092;0.78925
20;5;0.56;6;5;-0.46865;0.31136
20;6;0.59;6;5;0.42772;-0.4073
20;7;0.24;6;5;-0.24027;0.04247
20;8;0.69;6;5;-0.50432;0.47249
20;9;0.65;6;5;-0.47656;0.44914
20;10;0.63;6;5;-0.44615;0.43971
20;3;1.8;6;60;1.22366;1.31583
20;4;8.83;6;60;0.02446;8.82966
20;5;8.75;6;60;0.07424;8.74843
20;6;0.52;6;60;0.46594;0.22591
20;7;0.56;6;60;0.4619;0.31323
20;8;0.54;6;60;0.43911;0.31436
20;9;0.55;6;60;0.50447;0.22123
20;10;0.61;6;60;0.59244;0.15119
20;3;0.55;6;61;0.50286;-0.22666
20;4;0.65;6;61;-0.45985;0.45945
20;5;0.75;6;61;-0.2733;0.70254
20;6;0.66;6;61;-0.06073;0.66121
20;7;1.05;6;61;-0.16947;1.03412
20;8;1.08;6;61;-0.40316;0.99792
20;9;0.16;6;61;0.02846;0.1602
20;10;0.15;6;61;-0.14269;-0.05906
20;3;0.37;6;62;0.37254;-0.03525
20;4;0.53;6;62;0.47604;0.2364
20;5;0.85;6;62;0.68906;0.49957
20;6;0.75;6;62;0.64092;0.39567
20;7;0.52;6;62;0.39835;0.33468
20;8;0.35;6;62;0.34133;0.08721
20;9;0.33;6;62;0.30007;0.1344
20;10;0.32;6;62;0.28285;0.14915
20;3;0.78;6;63;-0.48303;0.61532
20;4;0.88;6;63;-0.4804;0.73174
20;5;0.57;6;63;-0.05029;0.56937
20;6;0.61;6;63;-0.11339;0.60247
20;7;0.53;6;63;-0.16601;0.50655
20;8;0.48;6;63;-0.19503;0.43376
20;9;0.52;6;63;-0.43359;0.28533
20;10;0.53;6;63;-0.47823;0.22257
20;3;2.67;6;64;2.63578;0.4505
20;4;1.7;6;64;1.69484;-0.15004
20;5;0.52;6;64;0.42518;0.2906
20;6;0.49;6;64;0.34288;0.34814
20;7;0.5;6;64;0.36137;0.34107
20;8;0.51;6;64;0.42867;0.27394
20;9;0.39;6;64;0.36571;0.14811
20;10;0.49;6;64;0.45969;0.158
20;3;0.56;6;65;-0.50648;-0.24738
20;4;0.18;6;65;-0.17638;0.00015
20;5;0.14;6;65;-0.12824;-0.04502
20;6;0.25;6;65;-0.23525;0.08047
20;7;0.24;6;65;-0.23669;-0.00409
20;8;0.22;6;65;-0.22269;0.02668
20;9;0.31;6;65;-0.27413;0.14529
20;10;0.46;6;65;-0.14256;0.43228
20;3;0.69;6;66;0.58763;-0.36745
20;4;7.65;6;66;1.99521;-7.38792
20;5;0.51;6;66;0.46222;-0.21951
20;6;0.3;6;66;0.30217;0.00724
20;7;0.42;6;66;0.39507;0.15063
20;8;0.47;6;66;0.35473;0.30359
20;9;0.49;6;66;0.35272;0.33992
20;10;0.49;6;66;0.43386;0.22635
20;3;0.55;6;67;0.4927;0.23989
20;4;0.74;6;67;0.74269;0.05258
20;5;0.35;6;67;0.16427;0.30944
20;6;0.34;6;67;0.15982;0.29861
20;7;0.41;6;67;-0.0464;0.40927
20;8;0.44;6;67;0.00059;0.43788
20;9;0.35;6;67;-0.0966;0.34005
20;10;0.33;6;67;-0.03348;0.32884
20;3;9.35;6;68;-7.22742;-5.92897
20;4;9.54;6;68;-7.07339;-6.39852
20;5;9.62;6;68;-7.19527;-6.37994
20;6;9.27;6;68;-6.93353;-6.14898
20;7;0.42;6;68;-0.08658;0.40993
20;8;0.37;6;68;-0.26209;0.26725
20;9;0.33;6;68;-0.15151;0.29814
20;10;0.34;6;68;-0.11216;0.32373
20;3;2.46;6;69;1.5384;-1.92168
20;4;1.88;6;69;1.3381;-1.32723
20;5;0.63;6;69;0.59427;-0.20042
20;6;0.44;6;69;0.35932;-0.25594
20;7;0.18;6;69;-0.12531;0.12631
20;8;0.16;6;69;-0.04515;0.14915
20;9;0.16;6;69;-0.10086;0.12253
20;10;0.11;6;69;0.05084;-0.09968
20;3;1.13;6;6;1.10342;-0.22822
20;4;0.78;6;6;0.76272;-0.18264
20;5;0.5;6;6;0.49226;0.09821
20;6;0.5;6;6;0.48598;0.11905
20;7;0.49;6;6;0.48466;0.08393
20;8;0.24;6;6;0.20128;0.13591
20;9;0.12;6;6;0.0185;0.12341
20;10;0.08;6;6;0.0026;0.08282
20;3;13.7;6;70;13.40475;-2.84734
20;4;14.65;6;70;14.57827;-1.40219
20;5;2.33;6;70;2.11748;0.96337
20;6;0.53;6;70;0.00731;-0.53046
20;7;0.54;6;70;0.20914;-0.50313
20;8;0.52;6;70;0.40548;-0.33348
20;9;0.5;6;70;0.44107;-0.23986
20;10;0.5;6;70;0.42354;-0.26695
20;3;0.46;6;71;0.44801;-0.10857
20;4;0.64;6;71;0.63823;0.05995
20;5;0.69;6;71;0.68834;0.07682
20;6;0.61;6;71;0.57644;0.20566
20;7;0.73;6;71;0.72506;0.04161
20;8;0.45;6;71;0.42901;0.14954
20;9;0.46;6;71;0.43922;0.14083
20;10;0.65;6;71;0.60991;-0.23743
20;3;0.56;6;72;0.34966;0.43568
20;4;0.52;6;72;0.27227;0.43886
20;5;0.44;6;72;-0.37075;-0.23842
20;6;0.3;6;72;-0.25182;-0.15476
20;7;0.73;6;72;-0.59375;-0.43275
20;8;0.76;6;72;-0.63561;-0.4099
20;9;0.84;6;72;-0.67958;-0.48693
20;10;0.88;6;72;-0.66334;-0.58559
20;3;1.03;6;73;1.01853;0.15156
20;4;0.61;6;73;0.60379;0.08887
20;5;0.56;6;73;0.50974;-0.23356
20;6;0.51;6;73;0.41892;-0.29628
20;7;0.3;6;73;0.24928;-0.1669
20;8;0.29;6;73;0.23687;-0.16525
20;9;0.37;6;73;0.37251;-0.03426
20;10;0.32;6;73;0.31235;0.06077
20;3;0.21;6;74;-0.21072;0.02165
20;4;0.25;6;74;-0.24707;0.04064
20;5;0.25;6;74;-0.2442;0.03661
20;6;0.23;6;74;-0.17964;0.14522
20;7;0.14;6;74;-0.04759;0.13031
20;8;0.03;6;74;-0.02399;0.0177
20;9;0.03;6;74;-0.02299;0.01616
20;10;0.23;6;74;-0.11795;0.19379
20;3;0.8;6;75;-0.60062;0.52332
20;4;6.16;6;75;3.41875;5.11892
20;5;0.62;6;75;0.12111;0.60426
20;6;0.42;6;75;0.15757;0.38524
20;7;0.12;6;75;0.11071;0.04349
20;8;0.09;6;75;0.08928;0.00303
20;9;0.15;6;75;-0.12635;-0.07727
20;10;0.21;6;75;-0.17242;-0.12596
20;3;4.19;6;76;-3.03444;-2.88228
20;4;0.63;6;76;0.4589;-0.43627
20;5;0.32;6;76;0.28945;-0.14706
20;6;0.4;6;76;-0.01158;-0.39677
20;7;0.34;6;76;0.02986;-0.33885
20;8;0.35;6;76;-0.03968;-0.34927
20;9;0.27;6;76;9e-05;-0.2671
20;10;0.15;6;76;-0.03763;-0.15004
20;3;0.7;6;77;0.38195;0.58526
20;4;2.21;6;77;1.81437;1.25864
20;5;0.9;6;77;-0.6223;-0.64388
20;6;0.22;6;77;-0.18133;-0.11868
20;7;0.21;6;77;-0.20426;-0.04383
20;8;0.2;6;77;-0.03674;0.20124
20;9;0.26;6;77;-0.22099;0.13755
20;10;0.26;6;77;-0.22799;0.12162
20;3;0.56;6;78;-0.07244;0.56028
20;4;0.39;6;78;-0.01298;0.39352
20;5;0.34;6;78;-0.04615;0.33326
20;6;0.39;6;78;-0.04756;0.38303
20;7;0.36;6;78;-0.03595;0.36232
